title,price,property_type,location,publication_date,link,city
Triplex s5 avec pisc,4000.0,Autre,Gammart,20/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3349429,Gammart
Un s2 vide à lac 2,5000.0,Appartement,Berge Du Lac,20/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3372068,Berge Du Lac
Un duplex s3 meublé à la,6500.0,Appartement,Berge Du Lac,20/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3372323,Berge Du Lac
Appartement s1 cité waha,900.0,Appartement,El Aouina,20/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376443,El Aouina
Appartement 3 pièces mou,180000.0,Appartement,El Mourouj,20/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3332180,El Mourouj
Très joli immeuble burea,43100.0,Autre,Le Kram,20/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3335731,Le Kram
Immeuble bureatique neuf,13500000.0,Autre,Le Kram,20/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3347593,Le Kram
Bureau 130 m2 hall plus,2100.0,Autre,Charguia 2,20/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3039534,Charguia 2
Appart haut standing rdc,190000.0,Appartement,Ezzahra,20/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376437,Ezzahra
Studio meublé,450.0,Autre,Bouchoucha,20/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376435,Bouchoucha
Appart s2 tunis,265000.0,Appartement,Bab Bhar,19/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376434,Bab Bhar
Maison inachevée 300m2 a,100000.0,Maison,Hammam El Gheza,19/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3362529,Hammam El Gheza
Terrain pour promoteur r,1800000.0,Terrain,Village Essahli,19/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376426,Village Essahli
Terrain agricole,6900000.0,Terrain,El Haouaria,19/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376424,El Haouaria
S1 meublé ennasr 2,1400.0,Appartement,Cite Ennasr 2,19/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376423,Cite Ennasr 2
Un appartement s 3 cité,1680.0,Appartement,Cite Ennasr 2,19/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3372076,Cite Ennasr 2
Spacieux bureau 400 m au,8000.0,Autre,Berge Du Lac,19/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3025660,Berge Du Lac
Maison et studio et maga,550000.0,Maison,Monfleury,19/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376413,Monfleury
Appartement s2 bardo2,680.0,Appartement,Le Bardo,19/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376412,Le Bardo
Terrain à chat ezzouhour,60000.0,Terrain,Korba,19/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376411,Korba
