title,price,property_type,location,publication_date,link
Dépot brady à ksar s,4 000,Surfaces,Ksar Said,24/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3357337
Un appartement s1 ne,330 000,App. 2 pièc,Ain Zaghouan,24/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385180
S plus 1 a  wahat aouina,1 050,App. 1 pièc,El Aouina,24/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3379107
Une villa s5 à ain z,4 500,App. 5 pièc,Ain Zaghouan,24/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3383077
Terrain de 655m à bh,623 000,Autre,Cite Bhar Lazre,24/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3381475
Bonne affaire de 530  mètre c,795 000,Terrain nu,Ezzahra,24/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385675
Occasion de hammam  el ghezaz,1 819 000,Terrain agr,Hammam El Gheza,24/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385674
Un  terrain  dans  un endroit,90 000,Terrain nu,Kelibia,24/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385673
Occasion de 2350 au cap bon,1 410 000,Terrain nu,Kerkouane,24/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385672
Terrain pour  les investisseu,730 400,Terrain agr,Dar Allouche,24/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385671
Un terrain dans un endroit  m,2 132 500,Terrain nu,Kelibia,24/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385669
Offre de terrain a kelibia de,63 000,Terrain nu,Kelibia,24/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385667
S3 spacieux bien entrete,1 350,App. 4 pièc,Jardins d'el Me,24/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3365637
Un bon lieu,225 000,Surfaces,El Alia,24/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385665
Pour fonctionaire ou etudiant,480,App. 1 pièc,Habib Thameur,24/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385547
Studio 1 a bardo 2 rommana,400,App. 3 pièc,Rommana,24/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3384113
Al rdc s2 avec garage et,1 700,Maisons,Cite Erriadh,24/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3380525
Terrain r2 gammarth 600m,570 000,Autre,Gammart,24/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3350410
Villa de maitre av,3 500 000,Maisons,El Menzah 4,24/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3350408
Propre ensoleillé avec deux b,150,App. 4 pièc,Ghar El Melh,24/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3365161
Terrain agricole de 16 h,10 000,Terrain agr,El Haouaria,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385025
Maison a la marsa côté amen b,830 000,Maisons,Marsa Safsaf,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385653
Terrain sur la rue principale,200 000,Terrain agr,Echabiba,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385652
Bureau hall plus 4 haut,2 875,Bureau,Berge Du Lac,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3025439
Un appartement s4 au 9éme éta,1 500,Bureau,El Menzah 1,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3377713
Terrain contruit,1 200 000,Terrain nu,Caid Mhamed,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3380713
4 depots ou magasins  ci,1 400,Autre,Kairouan,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385649
Local commercial à bizer,180 000,Autre,Bizerte,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385646
Villa de plage,550 000,Maisons,Cite De La Plag,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385644
Un appartement s 2 jardi,1 050,App. 3 pièc,Jardins d'el Me,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3379037
Appartement bardo,280 000,App. 2 pièc,Le Bardo,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3360834
Un appartement s2 haut standi,1 000,App. 3 pièc,Le Bardo,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3363952
Maison  pour étudiants près d,850,Maisons,Bab Saadoun,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385643
Hall plus 2 très haut st,1 200,Bureau,Republique,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=2978293
Joli terrain loti 635 m2,1 365 250,Terrain nu,Berge Du Lac,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3067573
Très beau terrain pou vi,3 000 000,Terrain nu,Marsa Ennassim,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3014859
Duplex villa a la marsa nassi,1 300 000,Maisons,Marsa Ennassim,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385642
Meublé climatisé pour fi,800,App. 2 pièc,Le Bardo,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385641
Maison sur la route prin,130 000,Maisons,Dar Allouche,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385634
Appartement borj louzir,550,App. 2 pièc,Borj Louzir,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385633
Terrain raoued ariana,125 000,Terrain nu,Raoued,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385632
Lots de terrain r2 et r4,90 000,Autre,Sousse Riadh,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385631
Terrain d'habitation,250 000,Terrain nu,Soliman,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385627
Haut standing indépendant,1 300,App. 3 pièc,Le Bardo,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376381
Pour couple ou petite famille,450,App. 2 pièc,Le Bardo,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385626
Rdc villa juste à côté du mal,1 500,Maisons,Sakiet Ezzit,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385618
Bonne occasion,1 200 000,Autre,Bou Charray,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385614
A ne pas rater,600,App. 2 pièc,Sidi Daoud,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376331
Terrain el mninhla,200 000,Terrain nu,Mnihla,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3363161
Etage commercial et bure,5 000,Surfaces,El Menzah 6,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3344953
Terrain 8 mraja3 pas loi,280 000,Terrain nu,Sidi Salah,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385610
Local commercial menzah,2 500,Surfaces,El Menzah 5,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3348843
Terrain 6 hectares jardi,2 100 000,Terrain nu,Jardins d'el Me,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3250096
Villa 3 niveaux ariana,750 000,Maisons,Ariana,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3328405
Apprt a complex al saida,165 000,App. 3 pièc,La Mannouba,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385608
Terrain à bâtir à sanheja,100 000,Terrain nu,La Mannouba,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3378486
Dépôt à soukra 210m2,1 400,Surfaces,La Soukra,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385598
Dépôt à soukra 250m2,2 200,Surfaces,La Soukra,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385596
Appartement s plus deux,1 350,App. 2 pièc,Ain Zaghouan,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3378776
Tu ouest 5342 m2 l24,8 000,Surfaces,La Mannouba,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3364865
Sousse 2700 m2 r1 l2,16 000,Surfaces,Sousse,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3364106
Sousse 1300 m2 rdc l,7 500,Surfaces,Sousse,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3363954
Villa  etat moyenne  sur ter,1 100 000,Terrain nu,Cite Oplympique,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3332091
Demade achat maison,n.d,Maisons,Gammart,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3350411
Terrain r4 la marsa,1 917 000,Autre,Cite Bhar Lazre,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3380659
Studio meublé chic et co,700,App. 1 pièc,El Kantaoui,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385587
Terrain à  sidi hammed,345 950,Terrain agr,Sidi Hmed,23/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385583
S 0 prés terminus métro arian,650,App. 1 pièc,Ariana,22/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385585
Appartement s 4 gremda,360 000,App. 4 pièc,Sidi Abbes,22/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3372693
S plus 2 bonne  état,450,App. 3 pièc,Merkez Dammak,22/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385582
2 lot de terrains à aria,1 120 000,Terrain nu,Cebalet Ben Amm,22/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385581
95dt m2 vieux port de gh,200 000,Terrain nu,Ghar El Melh,22/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3335618
Pour couple marié,800,App. 3 pièc,La Soukra,22/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3348744
S3 à sahloul 4,1 200,App. 3 pièc,Sahloul,22/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3383626
S plus 1 meublé ain,1 500,App. 2 pièc,Ain Zaghouan,22/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3375927
S0 propre avec chauffage,350,App. 1 pièc,Bab Bhar,22/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3382216
Partenaire pour achever,50 000,Maisons,Sidi Khelifa,22/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3372577
Terrain 200 m2 à dar all,62 000,Surfaces,Dar Allouche,22/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3368669
Terrain agricole 11000 m,550 000,Surfaces,Dar Allouche,22/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3346781
Villa haut standing 240,450 000,Maisons,Kerkouane,22/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3346780
S1 jardin aouina coté be,950,App. 2 pièc,El Aouina,22/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3378765
S1 meublé neuf haut stan,1 850,App. 1 pièc,Jardins de Cart,22/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385561
Etage de villa,870,Maisons,El Omrane Super,22/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385560
Etage de villa s2 ariana,630,App. 3 pièc,Cite Ennouzha,22/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385559
Appartement,170 000,App. 4 pièc,El Omrane Super,22/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3327319
Appartement s1  disponib,550,App. 2 pièc,La Mannouba,22/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385555
Terrain à borjtouil,110 000,Terrain nu,Borj Touil,22/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3377940
Surface 1er etage,40 000,Surfaces,Bizerte,22/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3210639
Villa à borjtouil ariana,700 000,Maisons,Borj Touil,22/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3366098
S plus 1 lwahat aouina,1 000,App. 1 pièc,El Aouina,22/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3357744
S plus 2 hts ain zaghoua,680 000,App. 2 pièc,Ain Zaghouan,22/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3314582
S plus 1 a laouina,1 050,App. 1 pièc,El Aouina,22/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3364184
Apt 2 chambres elmanar1,850,App. 2 pièc,El Manar 1,22/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3379380
Appartement meublé,430,App. 2 pièc,Monastir,22/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385553
Studio équipé ennasr2,900,App. 1 pièc,Cite Ennasr 2,22/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385551
Appartement coté hop mat,820,App. 3 pièc,Riadh Landlous,22/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3373653
Villa    sidi bou said r,6 000,Maisons,Sidi Bousaid,22/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385550
Villa s5   la marsa ref3,4 500,Maisons,Cite El Khalil,22/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385549
S1 meublé aux jardins de,1 500,App. 2 pièc,Jardins de Cart,22/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3309130
Villa s4 à gammarth,7 000,App. 4 pièc,Gammart,22/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3344680
Neuf s2 à v aux jardins,571 650,App. 2 pièc,Jardins de Cart,22/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3342078
Maison deux étages,120 000,Maisons,Jayara,22/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385544
Étage de villa s2 à cité,1 200,App. 2 pièc,Cite Ennasr 2,22/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385535
Appt s plus 3 avec ppkg,385 000,App. 4 pièc,El Aouina,22/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376596
Tage de villa en s2   re,200 000,Maisons,Cite El Mahrsi,22/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385530
Dar hammamet,2 300 000,Maisons,Hammamet,22/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3148732
Appartement sabri,1 800,App. 3 pièc,Hammamet,22/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3265435
Appartement s2 à la souk,1 500,App. 3 pièc,La Soukra,22/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3369462
Immeuble khouili à j,340 000,App. 4 pièc,Cite Afh,22/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385527
S2 neuf à cité el wahat,1 200,App. 3 pièc,El Aouina,22/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3381726
S1 meublée à jardins de,1 600,App. 2 pièc,Jardins de Cart,22/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3382527
